Step,Fox,Rabbit,Grass,Flower
1,96,156,2604,1127
2,102,152,2605,1104
3,103,149,2620,1100
4,107,147,2648,1082
5,111,148,2672,1066
6,115,156,2676,1055
7,117,160,2673,1068
8,115,175,2686,1077
9,121,177,2726,1061
10,121,186,2749,1047
11,126,185,2760,1030
12,126,208,2765,1035
13,124,232,2767,1031
14,127,225,2802,1030
15,130,222,2817,1017
16,130,239,2838,1027
17,134,264,2872,1018
18,133,262,2894,1019
19,135,286,2900,1019
20,125,307,2937,1013
21,119,349,2951,1023
22,124,359,3010,1021
23,122,372,3018,1041
24,124,381,3031,1051
25,121,430,3055,1046
26,121,431,3061,1047
27,126,469,3070,1036
28,124,481,3086,1022
29,122,480,3116,1014
30,116,520,3116,998
31,121,543,3120,1003
32,124,562,3109,1011
33,120,580,3141,992
34,120,601,3144,990
35,118,597,3129,968
36,116,631,3155,969
37,113,625,3155,962
38,112,686,3146,935
39,124,691,3164,919
40,127,715,3151,911
41,132,725,3157,904
42,130,712,3143,888
43,127,740,3123,879
44,133,777,3102,887
45,135,767,3079,869
46,133,815,3066,855
47,135,802,3039,846
48,139,853,3016,831
49,146,847,2981,819
50,149,879,2938,786
51,146,914,2920,771
52,148,895,2874,760
53,156,893,2798,737
54,161,953,2724,708
55,166,983,2664,689
56,172,977,2595,663
57,178,982,2542,634
58,185,977,2490,599
59,185,935,2459,575
60,187,877,2401,558
61,193,866,2327,551
62,197,895,2280,551
63,207,849,2210,547
64,228,787,2180,539
65,232,778,2130,516
66,245,726,2094,525
67,258,690,2063,512
68,263,654,2032,497
69,275,615,2015,489
70,285,558,2006,480
71,296,557,1964,489
72,312,524,1933,476
73,327,496,1910,484
74,337,461,1899,454
75,354,457,1872,437
76,366,480,1863,418
77,382,438,1850,425
78,393,434,1863,421
79,400,427,1871,404
80,419,400,1869,398
81,436,431,1865,404
82,460,380,1866,385
83,462,347,1887,378
84,471,330,1919,383
85,473,314,1923,375
86,476,307,1912,370
